"SOMAseqID","TargetFullName","Target","UniProt","EntrezGeneSymbol"
"X13132.14","Semaphorin-5A","SEM5A","Q13591","SEMA5A"
"X13133.73","Latent-transforming growth factor beta-binding protein 4","LTBP4","Q8N2S1","LTBP4"
"X14114.18","PILR alpha-associated neural protein","PIANP","Q8IYJ0","PIANP"
"X14115.34","Adrenomedullin","Adrenomedullin","P35318","ADM"
"X14116.129","Protein S100-A4","S100A4","P26447","S100A4"
"X14120.2","E3 ubiquitin-protein ligase RNF43","RNF43","Q68DV7","RNF43"
"X14121.24","Tumor necrosis factor receptor superfamily member 10D","TRAIL R4","Q9UBN6","TNFRSF10D"
"X14122.132","E3 ubiquitin-protein ligase ZNRF3","ZNRF3","Q9ULT6","ZNRF3"
"X14123.34","Platelet receptor Gi24","GI24","Q9H7M9","C10orf54"
"X14124.6","Ephrin-A2","Ephrin-A2","O43921","EFNA2"
"X14125.5","Apolipoprotein M","ApoM","O95445","APOM"
"X14127.240","Interferon beta","IFN-b","P01574","IFNB1"
"X14128.121","Interferon alpha-10","IFN10","P01566","IFNA10"
"X14129.1","Interferon alpha-7","IFNA7","P01567","IFNA7"
"X14131.37","Ephrin-B2","EFNB2","P52799","EFNB2"
"X14132.21","HERV-H LTR-associating protein 2","HHLA2","Q9UM44","HHLA2"
"X14133.93","Interleukin-1 receptor type 2","IL-1 sRII","P27930","IL1R2"
"X14135.3","Relaxin receptor 1","RXFP1","Q9HBX9","RXFP1"
"X14136.234","Complement component C1q receptor","C1QR1","Q9NPY3","CD93"
"X14139.16","Neuregulin-4","NRG4","Q8WWG1","NRG4"
"X14144.3","Histone H2A type 3","H2A3","Q7L7L0","HIST3H2A"
"X14146.92","Histone H3.1","H31","P68431","HIST1H3A"
"X14147.50","Interferon gamma","IFN-g","P01579","IFNG"
"X14149.9","Interleukin-36 beta","IL-1F8","Q9NZH7","IL36B"
"X14151.4","Ubiquitin-like protein ISG15","UCRP","P05161","ISG15"
"X14153.8","Ephrin-A3","Ephrin-A3","P52797","EFNA3"
"X14156.33","14-3-3 protein beta/alpha","14-3-3 protein beta/alpha","P31946","YWHAB"
"X14157.21","14-3-3 protein epsilon","14-3-3E","P62258","YWHAE"
"X14158.17","Annexin A5","Annexin V","P08758","ANXA5"
"X2190.55","Coagulation Factor XI","Coagulation Factor XI","P03951","F11"
"X2192.63","C-C motif chemokine 27","CTACK","Q9Y4X3","CCL27"
"X2212.69","Tissue-type plasminogen activator","tPA","P00750","PLAT"
"X2333.72","Transforming growth factor beta-1","TGF-b1","P01137","TGFB1"
"X2358.19","Vascular endothelial growth factor receptor 3","VEGF sR3","P35916","FLT4"
"X2381.52","Complement C5","C5","P01031","C5"
"X2421.7","Brain-derived neurotrophic factor","BDNF","P23560","BDNF"
"X2429.27","Complement component C8","C8","P07357,P07358,P07360","C8A C8B C8G"
"X2436.49","C-X-C motif chemokine 16","CXCL16, soluble","Q9H2A7","CXCL16"
"X2441.2","Fibroblast growth factor 10","FGF-10","O15520","FGF10"
"X2443.10","Fibroblast growth factor 8 isoform B","FGF-8B","P55075","FGF8"
"X2447.7","Group IIE secretory phospholipase A2","GIIE","Q9NZK7","PLA2G2E"
"X2449.1","Calcium-dependent phospholipase A2","GV","P39877","PLA2G5"
"X2468.62","C-C motif chemokine 20","MIP-3a","P78556","CCL20"
"X2474.54","Serum amyloid P-component","SAP","P02743","APCS"
"X2475.1","Mast/stem cell growth factor receptor Kit","SCF sR","P10721","KIT"
"X2501.51","Cadherin-1","Cadherin E","P12830","CDH1"
"X2505.49","GDNF family receptor alpha-3","GFRa-3","O60609","GFRA3"
"X2514.65","Ephrin-B3","Ephrin-B3","Q15768","EFNB3"
"X2515.14","GDNF family receptor alpha-2","GFRa-2","O00451","GFRA2"
"X2524.56","High mobility group protein B1","HMG-1","P09429","HMGB1"
"X2558.51","Beta-endorphin","b-Endorphin","P01189","POMC"
"X2571.12","Insulin-like growth factor-binding protein 3","IGFBP-3","P17936","IGFBP3"
"X2578.67","C-C motif chemokine 2","MCP-1","P13500","CCL2"
"X2580.83","Myeloperoxidase","Myeloperoxidase","P05164","MPO"
"X2585.2","Prolactin","PRL","P01236","PRL"
"X2597.8","Vascular endothelial growth factor A","VEGF","P15692","VEGFA"
"X2598.9","Tumor necrosis factor receptor superfamily member 9","4-1BB","Q07011","TNFRSF9"
"X2599.51","Tumor necrosis factor ligand superfamily member 9","4-1BB ligand","P41273","TNFSF9"
"X2602.2","Angiopoietin-2","Angiopoietin-2","O15123","ANGPT2"
"X2603.61","T-lymphocyte activation antigen CD80","B7","P33681","CD80"
"X2605.49","Tumor necrosis factor receptor superfamily member 8","CD30","P28908","TNFRSF8"
"X2611.72","Tyrosine-protein kinase receptor TYRO3","Dtk","Q06418","TYRO3"
"X2612.5","Eukaryotic translation initiation factor 5","eIF-5","P55010","EIF5"
"X2614.28","Ephrin-A4","Ephrin-A4","P52798","EFNA4"
"X2615.60","Ephrin-A5","Ephrin-A5","P52803","EFNA5"
"X2616.23","Receptor tyrosine-protein kinase erbB-2","ERBB2","P04626","ERBB2"
"X2618.10","Receptor tyrosine-protein kinase erbB-4","ERBB4","Q15303","ERBB4"
"X2619.72","Tumor-associated calcium signal transducer 2","GA733-1 protein","P09758","TACSTD2"
"X2622.18","Heme oxygenase 2","HO-2","P30519","HMOX2"
"X2625.53","Heat shock protein HSP 90-alpha/beta","HSP 90a/b","P07900 P08238","HSP90AA1 HSP90AB1"
"X2630.12","Interleukin-1 Receptor accessory protein","IL-1 R AcP","Q9NPH3","IL1RAP"
"X2631.50","Interleukin-10 receptor subunit beta","IL-10 Rb","Q08334","IL10RB"
"X2632.5","Interleukin-12 receptor subunit beta-1","IL-12 Rb1","P42701","IL12RB1"
"X2633.52","Interleukin-13 receptor subunit alpha-1","IL-13 Ra1","P78552","IL13RA1"
"X2634.2","Cytokine receptor common subunit gamma","IL-2 sRg","P31785","IL2RG"
"X2635.61","Layilin","Layilin","Q6UX15","LAYN"
"X2636.10","Tumor necrosis factor receptor superfamily member 3","Lymphotoxin b R","P36941","LTBR"
"X2637.77","Macrophage mannose receptor 1","Macrophage mannose receptor","P22897","MRC1"
"X2640.3","Macrophage-stimulating protein receptor","MSP R","Q04912","MST1R"
"X2642.4","Platelet-activating factor acetylhydrolase IB subunit beta","PAFAH beta subunit","P68402","PAFAH1B2"
"X2643.57","Cadherin-3","P-Cadherin","P22223","CDH3"
"X2645.54","Protein kinase C zeta type","PKC-Z","Q05513","PRKCZ"
"X2649.77","Intercellular adhesion molecule 3","sICAM-3","P32942","ICAM3"
"X2652.15","Urokinase plasminogen activator surface receptor","suPAR","Q03405","PLAUR"
"X2654.19","Tumor necrosis factor receptor superfamily member 1A","TNF sR-I","P19438","TNFRSF1A"
"X2665.26","Tumor necrosis factor receptor superfamily member 17","BCMA","Q02223","TNFRSF17"
"X2666.53","Decorin","Bone proteoglycan II","P07585","DCN"
"X2668.70","Calpain I","Calpain I","P07384 P04632","CAPN1 CAPNS1"
"X2681.23","Hepatocyte growth factor","HGF","P14210","HGF"
"X2685.21","Insulin-like growth factor-binding protein 5","IGFBP-5","P24593","IGFBP5"
"X2686.67","Insulin-like growth factor-binding protein 6","IGFBP-6","P24592","IGFBP6"
"X2687.2","Melanoma-derived growth regulatory protein","MIA","Q16674","MIA"
"X2692.74","Phospholipase A2, membrane associated","NPS-PLA2","P14555","PLA2G2A"
"X2695.25","Platelet endothelial cell adhesion molecule","PECAM-1","P16284","PECAM1"
"X2696.87","Persephin","Persephin","O60542","PSPN"
"X2700.56","Vitamin K-dependent protein S","Protein S","P07225","PROS1"
"X2704.74","Tumor necrosis factor receptor superfamily member 13B","TACI","O14836","TNFRSF13B"
"X2705.5","C-C motif chemokine 25","TECK","O15444","CCL25"
"X2708.54","Tumor necrosis factor ligand superfamily member 18","TNFSF18","Q9UNG2","TNFSF18"
"X2714.78","Endothelial monocyte-activating polypeptide 2","EMAP-2","Q12904","AIMP1"
"X2715.25","Erythropoietin receptor","EPO-R","P19235","EPOR"
"X2723.9","Interleukin-37","IL-1F7","Q9NZH6","IL37"
"X2728.62","Laminin","Laminin","P25391, P07942, P11047","LAMA1 LAMB1  LAMC1"
"X2730.58","MHC class I polypeptide-related sequence A","MICA","Q29983","MICA"
"X2732.58","Homeobox protein NANOG","NANOG","Q9H9S0","NANOG"
"X2734.49","Natural cytotoxicity triggering receptor 2","NKp44","O95944","NCR2"
"X2737.22","Protein NOV homolog","NovH","P48745","NOV"
"X2741.22","Sialic acid-binding Ig-like lectin 6","Siglec-6","O43699","SIGLEC6"
"X2746.56","Cytokine receptor-like factor 2","TSLP R","Q9HC73","CRLF2"
"X2747.3","NKG2D ligand 3","ULBP-3","Q9BZM4","ULBP3"
"X2748.3","Inhibin beta A chain","Activin A","P08476","INHBA"
"X2751.16","Azurocidin","Azurocidin","P20160","AZU1"
"X2753.2","Complement C1q subcomponent","C1q","P02745  P02746  P02747","C1QA C1QB  C1QC"
"X2760.2","Protein FAM107A","DRR1","O95990","FAM107A"
"X2761.49","Fibroblast growth factor 18","FGF-18","O76093","FGF18"
"X2762.30","Fibroblast growth factor 19","FGF-19","O95750","FGF19"
"X2763.66","Fibroblast growth factor 20","FGF-20","Q9NP95","FGF20"
"X2764.20","Fibroblast growth factor 9","FGF9","P31371","FGF9"
"X2765.4","Growth/differentiation factor 11/8","GDF-11/8","O95390 O14793","GDF11 MSTN"
"X2768.56","Hemopexin","Hemopexin","P02790","HPX"
"X2770.51","C-C motif chemokine 1","I-309","P22362","CCL1"
"X2771.35","Insulin-like growth factor-binding protein 1","IGFBP-1","P08833","IGFBP1"
"X2773.50","Interleukin-10","IL-10","P22301","IL10"
"X2774.10","Interleukin-16","IL-16","Q14005","IL16"
"X2775.54","Interleukin-17F","IL-17F","Q96PD4","IL17F"
"X2778.10","Interleukin-22","IL-22","Q9GZX6","IL22"
"X2781.63","C-C motif chemokine 4-like","LAG-1","Q8NHW4","CCL4L1"
"X2783.18","C-C motif chemokine 3-like 1","LD78-beta","P16619","CCL3L1"
"X2785.15","C-C motif chemokine 8","MCP-2","P80075","CCL8"
"X2789.26","Matrilysin","MMP-7","P09237","MMP7"
"X2794.60","Superoxide dismutase [Cu-Zn]","SOD","P00441","SOD1"
"X2796.62","Fibrinogen","Fibrinogen","P02671 P02675 P02679","FGA FGB FGG"
"X2797.56","Apolipoprotein B","Apo B","P04114","APOB"
"X2805.6","Angiotensin-converting enzyme 2","ACE2","Q9BYF1","ACE2"
"X2806.49","Activin receptor type-1B","Activin RIB","P36896","ACVR1B"
"X2811.27","Angiopoietin-1","Angiopoietin-1","Q15389","ANGPT1"
"X2813.11","Agouti-related protein","ART","O00253","AGRP"
"X2816.50","Basal Cell Adhesion Molecule","BCAM","P50895","BCAM"
"X2822.56","CD97 antigen","CD97","P48960","CD97"
"X2823.7","COMM domain-containing protein 7","COMMD7","Q86VX2","COMMD7"
"X2826.53","Ectodysplasin-A, secreted form","EDA","Q92838","EDA"
"X2827.23","Fractalkine","Fractalkine/CX3CL-1","P78423","CX3CL1"
"X2828.82","Kunitz-type protease inhibitor 1","HAI-1","O43278","SPINT1"
"X2829.19","Interleukin-27","IL-27","Q8NEV9 Q14213","IL27 EBI3"
"X2831.29","Kallikrein-11","Kallikrein 11","Q9UBX7","KLK11"
"X2833.20","Kallikrein-4","Kallikrein 4","Q9Y5K2","KLK4"
"X2835.1","X-ray repair cross-complementing protein 6","Ku70","P12956","XRCC6"
"X2838.53","Matrix metalloproteinase-17","MMP-17","Q9ULZ9","MMP17"
"X2839.2","Tumor necrosis factor ligand superfamily member 4","OX40 Ligand","P23510","TNFSF4"
"X2843.13","Kunitz-type protease inhibitor 2","SPINT2","O43291","SPINT2"
"X2846.24","Ubiquitin+1, truncated mutation for UbB","Ubiquitin+1","P62979","RPS27A"
"X2848.2","Wnt inhibitory factor 1","WIF-1","Q9Y5W5","WIF1"
"X2849.49","Allograft inflammatory factor 1","AIF1","P55008","AIF1"
"X2851.63","C5a anaphylatoxin","C5a","P01031","C5"
"X2853.68","Serine/threonine-protein kinase Chk1","CHK1","O14757","CHEK1"
"X2855.49","Mitogen-activated protein kinase 3","ERK-1","P27361","MAPK3"
"X2857.70","Glucocorticoid receptor","Glucocorticoid receptor","P04150","NR3C1"
"X2858.29","Histone acetyltransferase type B catalytic subunit","Hat1","O14929","HAT1"
"X2859.69","Histone deacetylase 8","HDAC8","Q9BY41","HDAC8"
"X2860.19","Importin subunit alpha-1","Karyopherin-a2","P52292","KPNA2"
"X2864.2","Dual specificity mitogen-activated protein kinase kinase 1","MEK1","Q02750","MAP2K1"
"X2869.68","Protein kinase C delta type","PKC-D","Q05655","PRKCD"
"X2870.29","Ras-related C3 botulinum toxin substrate 1","RAC1","P63000","RAC1"
"X2871.73","DNA repair protein RAD51 homolog 1","RAD51","Q06609","RAD51"
"X2876.74","DNA topoisomerase 1","Topoisomerase I","P11387","TOP1"
"X2877.3","SUMO-conjugating enzyme UBC9","UBC9","P63279","UBE2I"
"X2878.66","Tyrosine-protein kinase Yes","YES","P07947","YES1"
"X2879.9","Alpha-1-antichymotrypsin","a1-Antichymotrypsin","P01011","SERPINA3"
"X2888.49","Complement component C7","C7","P10643","C7"
"X2889.37","Cardiotrophin-1","Cardiotrophin-1","Q16619","CTF1"
"X2890.59","C-C motif chemokine 28","CCL28","Q9NRJ3","CCL28"
"X2891.1","B-cell receptor CD22","CD22","P20273","CD22"
"X2906.55","Interleukin-4","IL-4","P05112","IL4"
"X2913.1","C-C motif chemokine 23","MPIF-1","P55773","CCL23"
"X2915.6","Proliferating cell nuclear antigen","PCNA","P12004","PCNA"
"X2917.3","Tumor necrosis factor ligand superfamily member 11","sRANKL","O14788","TNFSF11"
"X2925.9","Plasminogen activator inhibitor 1","PAI-1","P05121","SERPINE1"
"X2939.10","Artemin","Artemin","Q5T4W7","ARTN"
"X2942.50","Cytochrome c","Cytochrome c","P99999","CYCS"
"X2943.5","Cytochrome P450 3A4","Cytochrome P450 3A4","P08684","CYP3A4"
"X2944.66","Neuroblastoma suppressor of tumorigenicity 1","DAN","P41271","NBL1"
"X2945.25","Estrogen receptor","ER","P03372","ESR1"
"X2946.52","Complement factor D","Factor D","P00746","CFD"
"X2948.58","Growth hormone receptor","Growth hormone receptor","P10912","GHR"
"X2949.6","Group 10 secretory phospholipase A2","GX","O15496","PLA2G10"
"X2952.75","Insulin-like growth factor I","IGF-I","P05019","IGF1"
"X2953.31","Luteinizing hormone","Luteinizing hormone","P01215, P01229","CGA LHB"
"X2960.66","Properdin","Properdin","P27918","CFP"
"X2961.1","Vitamin K-dependent protein C","Protein C","P04070","PROC"
"X2962.50","Parathyroid hormone-related protein","PTHrP","P12272","PTHLH"
"X2967.8","Vascular cell adhesion protein 1","VCAM-1","P19320","VCAM1"
"X2968.61","Tumor necrosis factor ligand superfamily member 15","TNFSF15","O95150","TNFSF15"
"X2969.11","Serine/threonine-protein kinase receptor R3","ALK-1","P37023","ACVRL1"
"X2970.60","Amphiregulin","AREG","P15514","AREG"
"X2974.61","Contactin-1","contactin-1","Q12860","CNTN1"
"X2975.19","Connective tissue growth factor","CTGF","P29279","CTGF"
"X2976.58","Desmoglein-1","Desmoglein-1","Q02413","DSG1"
"X2977.7","Tumor necrosis factor receptor superfamily member EDAR","EDAR","Q9UNE0","EDAR"
"X2979.8","C-X-C motif chemokine 5","ENA-78","P42830","CXCL5"
"X2982.82","Galectin-4","Galectin-4","P56470","LGALS4"
"X2985.35","Growth-regulated alpha protein","Gro-a","P09341","CXCL1"
"X2986.49","Gro-beta/gamma","Gro-b/g","P19876 P19875","CXCL3 CXCL2"
"X2987.37","Histone H1.2","Histone H1.2","P16403","HIST1H1C"
"X2988.57","Inducible T-cell costimulator","ICOS","Q9Y6W8","ICOS"
"X2991.9","Interleukin-1 receptor type 1","IL-1 sRI","P14778","IL1R1"
"X2992.59","Interleukin-17 receptor A","IL-17 sR","Q96F46","IL17RA"
"X2993.1","Interleukin-18 receptor accessory protein","IL-18 Rb","O95256","IL18RAP"
"X2994.71","Interleukin-1 receptor-like 2","IL-1Rrp2","Q9HB29","IL1RL2"
"X2997.8","Junctional adhesion molecule B","JAM-B","P57087","JAM2"
"X2998.53","Junctional adhesion molecule C","JAM-C","Q9BX67","JAM3"
"X2999.6","Limbic system-associated membrane protein","LSAMP","Q13449","LSAMP"
"X3003.29","Natural cytotoxicity triggering receptor 3","NKp30","O14931","NCR3"
"X3004.67","Programmed cell death 1 ligand 2","PD-L2","Q9BQ51","PDCD1LG2"
"X3005.5","Tyrosine-protein phosphatase non-receptor type 1","PTP-1B","P18031","PTPN1"
"X3009.3","Transforming growth factor beta receptor type 3","TGF-b R III","Q03167","TGFBR3"
"X3010.53","Thymic stromal lymphopoietin","TSLP","Q969D9","TSLP"
"X3022.4","Cytotoxic T-lymphocyte protein 4","CTLA-4","P16410","CTLA4"
"X3025.50","Fibroblast growth factor 2","bFGF","P09038","FGF2"
"X3029.52","CD209 antigen","DC-SIGN","Q9NNX6","CD209"
"X3034.1","Glial fibrillary acidic protein","GFAP","P14136","GFAP"
"X3040.59","C-C motif chemokine 3","MIP-1a","P10147","CCL3"
"X3042.7","Myoglobin","Myoglobin","P02144","MB"
"X3043.49","SPARC","ON","P09486","SPARC"
"X3044.3","C-C motif chemokine 18","PARC","P55774","CCL18"
"X3045.72","Pleiotrophin","PTN","P21246","PTN"
"X3046.31","Resistin","resistin","Q9HD89","RETN"
"X3049.61","Trypsin-1","Trypsin","P07477","PRSS1"
"X3052.8","Tumor necrosis factor ligand superfamily member 6, soluble form","Fas ligand, soluble","P48023","FASLG"
"X3053.49","Fms-related tyrosine kinase 3 ligand","Flt3 ligand","P49771","FLT3LG"
"X3054.3","Haptoglobin","Haptoglobin, Mixed Type","P00738","HP"
"X3055.54","Interleukin-4 receptor subunit alpha","IL-4 sR","P24394","IL4R"
"X3056.11","NKG2-D type II integral membrane protein","NKG2D","P26718","KLRK1"
"X3057.55","WNT1-inducible-signaling pathway protein 1","WISP-1","O95388","WISP1"
"X3059.50","Tumor necrosis factor ligand superfamily member 13B","BAFF","Q9Y275","TNFSF13B"
"X3061.61","Cathepsin B","Cathepsin B","P07858","CTSB"
"X3065.65","Fibroblast growth factor 5","FGF-5","P12034","FGF5"
"X3066.12","Galectin-3","Galectin-3","P17931","LGALS3"
"X3067.67","Growth/differentiation factor 9","GDF-9","O60383","GDF9"
"X3070.1","Interleukin-2","IL-2","P60568","IL2"
"X3072.4","Interleukin-13","IL-13","P35225","IL13"
"X3073.51","Interleukin-18-binding protein","IL-18 BPa","O95998","IL18BP"
"X3074.6","Lipopolysaccharide-binding protein","LBP","P18428","LBP"
"X3077.66","Coagulation factor Xa","Coagulation Factor Xa","P00742","F10"
"X3078.1","Placenta growth factor","PlGF","P49763","PGF"
"X3081.70","NKG2D ligand 1","ULBP-1","Q9BZM6","ULBP1"
"X3082.9","NKG2D ligand 2","ULBP-2","Q9BZM5","ULBP2"
"X3083.71","Tumor necrosis factor receptor superfamily member 27","XEDAR","Q9HAV5","EDA2R"
"X3091.70","Aurora kinase A","Aurora kinase A","O14965","AURKA"
"X3115.64","Mitogen-activated protein kinase 1","MK01","P28482","MAPK1"
"X3122.6","Diablo homolog, mitochondrial","SMAC","Q9NR28","DIABLO"
"X3132.1","Vascular endothelial growth factor C","VEGF-C","P49767","VEGFC"
"X3143.3","T-cell surface glycoprotein CD4","sCD4","P01730","CD4"
"X3151.6","Interleukin-2 receptor subunit alpha","IL-2 sRa","P01589","IL2RA"
"X3152.57","Tumor necrosis factor receptor superfamily member 1B","TNF sR-II","P20333","TNFRSF1B"
"X3166.92","Myeloid cell surface antigen CD33","Siglec-3","P20138","CD33"
"X3168.8","A disintegrin and metalloproteinase with thrombospondin motifs 5","ADAMTS-5","Q9UNA0","ADAMTS5"
"X3169.70","Alpha-L-iduronidase","IDUA","P35475","IDUA"
"X3171.57","Amyloid beta A4 protein","amyloid precursor protein","P05067","APP"
"X3172.28","Arylsulfatase B","ARSB","P15848","ARSB"
"X3173.49","N-acylethanolamine-hydrolyzing acid amidase","ASAHL","Q02083","NAAA"
"X3174.2","A disintegrin and metalloproteinase with thrombospondin motifs 1","ATS1","Q9UHI8","ADAMTS1"
"X3175.51","A disintegrin and metalloproteinase with thrombospondin motifs 13","ATS13","Q76LX8","ADAMTS13"
"X3177.49","Carbonic anhydrase 4","Carbonic Anhydrase IV","P22748","CA4"
"X3178.5","Dipeptidyl peptidase 1","CATC","P53634","CTSC"
"X3179.51","Lysosomal protective protein","Cathepsin A","P10619","CTSA"
"X3181.50","Cathepsin S","Cathepsin S","P25774","CTSS"
"X3182.38","Ectonucleoside triphosphate diphosphohydrolase 1","CD39","P49961","ENTPD1"
"X3184.25","Coagulation factor VII","Coagulation Factor VII","P08709","F7"
"X3187.52","Cysteine-rich secretory protein 3","CRIS3","P54108","CRISP3"
"X3189.61","Enteropeptidase","Enterokinase","P98073","TMPRSS15"
"X3192.3","Cytosolic non-specific dipeptidase","Glutamate carboxypeptidase","Q96KP4","CNDP2"
"X3194.36","Platelet glycoprotein VI","GPVI","Q9HCN6","GP6"
"X3196.6","Hyaluronan and proteoglycan link protein 1","HPLN1","P10915","HAPLN1"
"X3197.70","Insulin-degrading enzyme","IDE","P14735","IDE"
"X3199.54","Kallikrein-12","kallikrein 12","Q9UKR0","KLK12"
"X3200.49","Kallikrein-13","kallikrein 13","Q9UKR3","KLK13"
"X3201.49","Kallikrein-5","kallikrein 5","Q9Y337","KLK5"
"X3202.28","Kremen protein 2","KREM2","Q8NCW0","KREMEN2"
"X3204.2","Leukotriene A-4 hydrolase","LKHA4","P09960","LTA4H"
"X3206.4","Lymphatic vessel endothelial hyaluronic acid receptor 1","LYVE1","Q9Y5Y7","LYVE1"
"X3208.2","Matrilin-3","MATN3","O15232","MATN3"
"X3209.69","Matrix extracellular phosphoglycoprotein","MEPE","Q9NQ76","MEPE"
"X3210.1","Methionine aminopeptidase 1","METAP1","P53582","METAP1"
"X3212.30","Neutral ceramidase","ASAH2","Q9NR71","ASAH2"
"X3217.74","Glia-derived nexin","Protease nexin I","P07093","SERPINE2"
"X3220.40","Proto-oncogene tyrosine-protein kinase receptor Ret","RET","P07949","RET"
"X3221.54","Secreted frizzled-related protein 1","SARP-2","Q8N474","SFRP1"
"X3222.11","Semaphorin-3A","Semaphorin 3A","Q14563","SEMA3A"
"X3232.28","Tartrate-resistant acid phosphatase type 5","TrATPase","P13686","ACP5"
"X3235.50","WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2","WFKN2","Q8TEU8","WFIKKN2"
"X3280.49","Aggrecan core protein","Aggrecan","P16112","ACAN"
"X3281.19","Angiopoietin-related protein 3","ANGL3","Q9Y5C1","ANGPTL3"
"X3283.21","Transforming growth factor-beta-induced protein ig-h3","BGH3","Q15582","TGFBI"
"X3284.75","Biglycan","BGN","P21810","BGN"
"X3285.23","Complement C1r subcomponent","C1r","P00736","C1R"
"X3289.19","Carbonic anhydrase-related protein 10","Carbonic Anhydrase X","Q9NS85","CA10"
"X3291.30","Low affinity immunoglobulin epsilon Fc receptor","CD23","P06734","FCER2"
"X3292.75","CD48 antigen","CD48","P09326","CD48"
"X3294.55","Cryptic protein","CFC1","P0CG37","CFC1"
"X3298.52","Contactin-4","Contactin-4","Q8IWV2","CNTN4"
"X3299.29","Contactin-5","Contactin-5","O94779","CNTN5"
